ArticleID,topic_1,topic_1_prop,topic_2,topic_2_prop,topic_3,topic_3_prop
34160020,77.0,0.3018942177295685,34.0,0.2586919069290161,24.0,0.225164532661438
34160025,54.0,0.7884765863418579,78.0,0.20181892812252045,78.0,0.20181892812252045
34160026,17.0,0.9847665429115295,17.0,0.9847665429115295,17.0,0.9847665429115295
34160042,85.0,0.672391414642334,12.0,0.31436342000961304,12.0,0.31436342000961304
34160047,12.0,0.9897922873497009,12.0,0.9897922873497009,12.0,0.9897922873497009
34160050,18.0,0.9432446956634521,94.0,0.04502633959054947,94.0,0.04502633959054947
34160055,15.0,0.8326851725578308,73.0,0.15506261587142944,73.0,0.15506261587142944
34160124,52.0,0.3354617953300476,40.0,0.31863167881965637,86.0,0.1661825180053711
34160182,54.0,0.5621960163116455,10.0,0.22600530087947845,15.0,0.1041681244969368
34160183,64.0,0.6255317330360413,44.0,0.3654760420322418,44.0,0.3654760420322418
34160184,54.0,0.6549925804138184,75.0,0.17710670828819275,42.0,0.1572389155626297
34160214,66.0,0.8077018857002258,62.0,0.17568495869636536,62.0,0.17568495869636536
34160228,56.0,0.6995120048522949,66.0,0.26985645294189453,66.0,0.26985645294189453
34160275,10.0,0.9899981021881104,10.0,0.9899981021881104,10.0,0.9899981021881104
34160290,82.0,0.37583404779434204,58.0,0.20006071031093597,6.0,0.19216595590114594
34160294,85.0,0.5217261910438538,97.0,0.281727135181427,37.0,0.17674775421619415
34160308,15.0,0.9919500946998596,15.0,0.9919500946998596,15.0,0.9919500946998596
34160349,49.0,0.8787610530853271,70.0,0.10743371397256851,70.0,0.10743371397256851
34160351,13.0,0.6332042813301086,78.0,0.35796472430229187,78.0,0.35796472430229187
34165949,70.0,0.4389548599720001,94.0,0.18330006301403046,91.0,0.13400451838970184
34165961,40.0,0.7909428477287292,90.0,0.1867811381816864,90.0,0.1867811381816864
34165973,33.0,0.9854394793510437,33.0,0.9854394793510437,33.0,0.9854394793510437
34165988,91.0,0.6520455479621887,71.0,0.3337482213973999,71.0,0.3337482213973999
34166066,86.0,0.9920787215232849,86.0,0.9920787215232849,86.0,0.9920787215232849
34166069,71.0,0.8678202033042908,3.0,0.11402823030948639,3.0,0.11402823030948639
34166070,94.0,0.7714003920555115,8.0,0.12791374325752258,3.0,0.08366546034812927
34166072,90.0,0.3515545427799225,8.0,0.30883467197418213,94.0,0.20703262090682983
34166073,94.0,0.35220852494239807,49.0,0.26689112186431885,13.0,0.21284370124340057
34166075,38.0,0.4330677092075348,16.0,0.3357110023498535,94.0,0.22121809422969818
34166052,81.0,0.9860537648200989,81.0,0.9860537648200989,81.0,0.9860537648200989
34166055,95.0,0.4362015128135681,28.0,0.3159322738647461,73.0,0.2369653582572937
34166056,76.0,0.5445770025253296,41.0,0.2710200250148773,95.0,0.17196471989154816
34166057,73.0,0.9927728176116943,73.0,0.9927728176116943,73.0,0.9927728176116943
34166058,7.0,0.9884870052337646,7.0,0.9884870052337646,7.0,0.9884870052337646
34166059,80.0,0.41187670826911926,95.0,0.2363157570362091,73.0,0.16873250901699066
34166131,57.0,0.4009915888309479,18.0,0.3819374144077301,58.0,0.1333925426006317
34166132,41.0,0.992324709892273,41.0,0.992324709892273,41.0,0.992324709892273
34166134,2.0,0.9924418926239014,2.0,0.9924418926239014,2.0,0.9924418926239014
34166135,31.0,0.9866201877593994,31.0,0.9866201877593994,31.0,0.9866201877593994
34166137,7.0,0.8274796605110168,80.0,0.15590903162956238,80.0,0.15590903162956238
34166144,32.0,0.5440978407859802,6.0,0.1756768524646759,41.0,0.1700504720211029
34166179,71.0,0.5788165330886841,46.0,0.272321879863739,69.0,0.14077706634998322
34166180,21.0,0.3215363025665283,15.0,0.23281657695770264,42.0,0.19850268959999084
34166191,97.0,0.48065775632858276,27.0,0.3185844123363495,20.0,0.18799267709255219
34166194,6.0,0.9914643168449402,6.0,0.9914643168449402,6.0,0.9914643168449402
