ArticleID,topic_1,topic_1_prop,topic_2,topic_2_prop,topic_3,topic_3_prop
34159949,1,0.32029253,2,0.274552524089813,85,0.140907630324364
34159965,59,0.49628264,53,0.203550025820732,11,0.172575086355209
34159966,2,0.30255428,17,0.227587401866913,94,0.138002768158913
34159968,37,0.85407597,37,0.854075968265533,37,0.854075968265533
34159970,54,0.2971125,94,0.257038980722427,67,0.237824857234955
34159977,53,0.45192623,8,0.303913712501526,8,0.303913712501526
34159985,2,0.42850095,3,0.15504589676857,99,0.148082256317139
34160009,95,0.2949458,4,0.249035760760307,7,0.247110679745674
34160010,42,0.39166936,1,0.289873152971268,68,0.148523420095444
34160019,47,0.5012026,10,0.240199536085129,6,0.0697830617427826
34160020,83,0.23241395,69,0.215108782052994,30,0.197745025157928
34160025,7,0.54659367,4,0.313329547643661,4,0.313329547643661
34160026,37,0.7102173,73,0.137633562088013,73,0.137633562088013
34160042,5,0.24561058,10,0.23651996254921,44,0.23291289806366
34160047,5,0.37975216,0,0.241015568375587,37,0.216612622141838
34160050,51,0.3294444,94,0.20983412861824,2,0.198799520730972
34160055,92,0.36019284,43,0.149346828460693,14,0.138942360877991
34160124,85,0.39292026,52,0.234746396541595,69,0.140272468328476
34160182,1,0.50239784,3,0.126991868019104,11,0.100327901542187
34160183,44,0.30126694,18,0.201564773917198,32,0.155782207846642
34160184,4,0.34266517,79,0.251780778169632,41,0.160330846905708
34160214,20,0.2838376,2,0.242324829101562,80,0.183388367295265
34160228,94,0.5517741,95,0.183207392692566,0,0.0563572384417057
34160275,10,0.5694872,57,0.284014254808426,57,0.284014254808426
34160290,12,0.3461874,85,0.29799348115921,5,0.11676961928606
34160294,22,0.53737336,67,0.193498730659485,18,0.100560918450356
34160308,50,0.4856058,79,0.327934741973877,79,0.327934741973877
34160349,43,0.65217507,9,0.108887203037739,9,0.108887203037739
34160351,73,0.75048506,46,0.116988696157932,46,0.116988696157932
34165949,3,0.23303036,12,0.165847837924957,46,0.147357404232025
34165961,94,0.2781327,83,0.213596567511559,53,0.148160219192505
34165973,53,0.2293173,20,0.225259810686111,6,0.161694258451462
34165988,21,0.39438504,82,0.27276822924614,52,0.0979604870080948
34166066,40,0.48749945,47,0.277653574943542,24,0.084246888756752
34166069,82,0.33598888,47,0.216871574521065,8,0.201945930719376
34166070,8,0.31978294,76,0.283391416072845,82,0.18014794588089
34166072,11,0.79544175,27,0.0840763002634048,27,0.0840763002634048
34166073,11,0.2463806,23,0.244852229952812,22,0.185732677578926
34166075,12,0.74598306,56,0.112192332744598,56,0.112192332744598
34166052,32,0.38540074,82,0.236122399568558,17,0.21927884221077
34166055,20,0.44892004,44,0.269139558076859,46,0.0739017501473427
34166056,20,0.4626387,32,0.272764176130295,19,0.0996627509593964
34166057,79,0.4124477,82,0.192575395107269,43,0.181308776140213
34166058,45,0.66484284,74,0.143992334604263,74,0.143992334604263
34166059,92,0.6801237,32,0.184033274650574,32,0.184033274650574
34166131,53,0.8261599,53,0.8261598944664,53,0.8261598944664
34166132,43,0.24636807,66,0.232927694916725,82,0.152044013142586
34166134,3,0.6575991,55,0.207170411944389,55,0.207170411944389
34166135,45,0.49019828,49,0.147385969758034,85,0.135471522808075
34166137,66,0.41065416,82,0.290503323078156,67,0.11777850985527
34166144,82,0.2742942,32,0.236276194453239,30,0.174428895115852
34166179,32,0.34603447,42,0.271806836128235,57,0.197065532207489
34166180,24,0.28999358,4,0.2790766954422,49,0.138495147228241
34166191,41,0.36968765,13,0.245228663086891,55,0.186397090554237
34166194,42,0.3624036,53,0.252819150686264,46,0.225790590047836
34166195,1,0.34811518,47,0.182408720254898,92,0.11879862844944
34166230,21,0.30548796,82,0.219926670193672,1,0.18034154176712
34166231,12,0.3485441,94,0.222663775086403,7,0.131096497178078
34166238,16,0.3695247,31,0.253937005996704,5,0.145089268684387
34166239,43,0.55695176,66,0.249072268605232,66,0.249072268605232
34166240,55,0.32468987,16,0.289108425378799,61,0.17481055855751
34166249,56,0.63326263,5,0.137278020381928,5,0.137278020381928
34166250,2,0.48697475,84,0.212447375059128,94,0.0879156738519669
